n,c,l,k,dataset,sketch_method,compute_time,rel_error,memory_gb
10000,10000.0,500,200,msd,gaussian,1.2613649368286133,0.0038961891171077775,0.7450580596923828
10000,10000.0,500,400,msd,gaussian,1.2613649368286133,0.002473980937597282,0.7450580596923828
10000,10000.0,500,600,msd,gaussian,1.2613649368286133,0.002317666974466214,0.7450580596923828
10000,10000.0,500,800,msd,gaussian,1.2613649368286133,0.002317666974466214,0.7450580596923828
10000,10000.0,500,1000,msd,gaussian,1.2613649368286133,0.002317666974466214,0.7450580596923828
10000,10000.0,1000,200,msd,gaussian,3.7009642124176025,0.003240014125791948,0.7450580596923828
10000,10000.0,1000,400,msd,gaussian,3.7009642124176025,0.0014147660082752642,0.7450580596923828
10000,10000.0,1000,600,msd,gaussian,3.7009642124176025,0.0009448826467633569,0.7450580596923828
10000,10000.0,1000,800,msd,gaussian,3.7009642124176025,0.0007792924350899759,0.7450580596923828
10000,10000.0,1000,1000,msd,gaussian,3.7009642124176025,0.0007181416713850913,0.7450580596923828
10000,10000.0,2000,200,msd,gaussian,14.445982456207275,0.0031155805617854855,0.7450580596923828
10000,10000.0,2000,400,msd,gaussian,14.445982456207275,0.001185912430468261,0.7450580596923828
10000,10000.0,2000,600,msd,gaussian,14.445982456207275,0.0006344147798146751,0.7450580596923828
10000,10000.0,2000,800,msd,gaussian,14.445982456207275,0.00040473567948840297,0.7450580596923828
10000,10000.0,2000,1000,msd,gaussian,14.445982456207275,0.0002910922293120421,0.7450580596923828
